	0
0	-0.6933344261251114
1	-1.344626572174846
2	-0.11065557194018072
3	-0.9317115963771684
4	-0.7315537723087105
5	-0.13875883575884707
6	-1.3445009588868713
7	-0.5785052237116136
8	0.13999505460957906
9	0.6622480171268473
10	-0.14112287725414996
11	-1.336235640502676
12	-1.2149620329806203
13	-0.037603747689329836
14	-1.0376099812548156
15	-1.252338606774587
16	-1.3805931053372174
17	-1.062743394575711
18	-0.5268816562240988
19	-1.6823313996514018
20	-1.6590745568772298
21	-1.6596783930285819
22	-2.0300015058490937
23	-1.7742813091946332
24	-1.016687563482675
25	0.11415031289426292
26	-1.0894229272574336
27	-1.1568936765574445
28	-2.2120252276879966
29	-3.400725557588431
30	-3.4223403601725333
31	-4.843957812571643
32	-6.928593402732374
33	-7.845234400479103
