	0
0	0.7589769061473987
1	-1.3445798116140617
2	-2.338946590621455
3	-4.351884352316516
4	-4.53925602313362
5	-7.546162287570254
6	-7.730296526328672
7	-8.564321229807263
8	-9.1409251778679
9	-8.360393439975994
10	-8.66050726054312
11	-8.579679317674964
12	-8.453350331971029
13	-8.276513969598607
14	-8.493758806971229
15	-9.424013189661965
16	-10.776045029716027
17	-12.173343700144628
18	-11.484119026416643
19	-12.273656702975764
20	-12.021502792650592
21	-10.883842314130186
22	-7.848192731087098
23	-7.631462987733714
24	-6.530780440036615
25	-6.670335588275054
26	-8.726263228517928
27	-9.254906041119513
28	-7.710097319142677
29	-7.389725134474156
30	-6.191846454740053
31	-5.788637452971499
32	-6.783305397682097
33	-7.714289038048006
34	-7.191839966676096
35	-7.03981146471551
36	-6.671523631882934
37	-7.963858452329714
38	-7.763398912297432
