	A	B	C
0	0.7998465771232741	0.8397195043106807	0.39894020168872857
1	0.7571591414238789	0.6670076192245574	0.5419487509047309
2	0.49012007165253835	0.3369763188125918	0.38279133660299425
3	0.8195410260876794	0.9888981061243507	0.7671642542390387
4	0.9443759396995439	0.985882165290674	0.8363208895679778
5	0.4827232850150488	0.4734532141398725	0.947361223143596
6	0.41364075921593013	0.4672017338750504	0.04923618089451198
7	0.49705423842505203	0.39963882737060785	0.13602680892315833
8	0.1514945625118419	0.8860167681804068	0.058553710566376926
9	0.4891660317089863	0.7294373213051851	0.2298847175935097
