	A	B	C	D	E
0	0.40811502219165785	0.2877654713306601	0.06160000514045516	0.3741492433827246	0.3211941603341041
1	0.6996282148054807	0.3557632537834443	0.06549777644392563	0.5480301070121123	0.7583851651139097
2	0.854731827054544	0.4227334466773649	0.7220864745798473	0.40178499623966446	0.8084612261821431
3	0.2382170371031389	0.3478551325785594	0.07948720544336074	0.2851080303807033	0.38321970799510263
4	0.2816205010912066	0.25574490696796126	0.5978063709319328	0.6312879218240491	0.8004331928507686
5	0.13275388018573742	0.47629597391872336	0.8956528103211832	0.47693674514073525	0.9219703497358859
6	0.41215997100664725	0.6052489253531007	0.45610690707024815	0.8881613924249881	0.16878050535938383
7	0.7120890792069814	0.8837411085564598	0.28644769204668485	0.992277294050317	0.13553118395230968
8	0.3493908898123589	0.0887022824262459	0.6305137042249125	0.30141205733572785	0.748977721282495
9	0.24153826103437148	0.8338424320966201	0.8875530392715387	0.5069221586149387	0.5257172300276315
