	0
0	-0.9612848677216893
1	-1.5892512781633499
2	-1.677857286421928
3	-0.1424100041680434
4	-0.6256608870106184
5	-0.37381615239790733
6	0.3583715073078054
7	-0.4597247396398959
8	-0.7863917031214747
9	0.08881255025268076
10	1.3497261167267531
11	0.6712898234702385
12	-0.019440587435548107
13	-1.4279568557691409
14	-1.229049883406871
15	-1.2733725184891804
16	-1.406179118773093
17	0.38073872347910065
18	-0.737309627931638
19	-1.6097576222302712
20	-2.5679485283078782
21	-2.326246815318382
22	-2.87577313231587
23	-5.088891709408586
24	-5.107239967536485
25	-4.832070515800417
26	-5.823543452089503
27	-7.662387411505835
28	-9.327352602575079
29	-8.44807088067005
30	-8.02745910780582
31	-8.251286608614192
32	-7.6322848796982585
33	-8.142435867581087
34	-7.567118612515933
35	-6.94756794408069
36	-6.019810450194039
