	0
0	0.08744741323353762
1	-1.2967708143262588
2	-1.4220539933843688
3	-1.9241078718136357
4	-1.5052470382128997
5	-1.562251325153766
6	-1.9132901358438807
7	-2.9818903811870525
8	-3.2316885647520435
9	-3.222573526238163
10	-3.297649987652591
11	-2.5198579427643106
12	-3.084177632600343
13	-2.971482552823306
14	-2.1698024015199566
15	-1.1615459743524896
16	-0.5580471041935798
17	-0.27440966124455
18	-0.016093850156572442
19	-0.7013807880107528
20	-1.7470045653324193
21	-2.9611730938674707
22	-5.04768337901106
23	-4.033909106932221
