	A	B	C	D	E
0	0.9668562680421068	0.8718011073109737	0.15789022368971306	0.8834497741398721	0.16282806489345425
1	0.3796868465940373	0.5172446594219507	0.8167105320913556	0.2665093232193204	0.40150851067425597
2	0.6037593879993636	0.4709081219324138	0.8460384374013391	0.735264723216822	0.5681343201515601
3	0.5507266110194193	0.39566301613436683	0.681944081134541	0.026771019758934034	0.737426703823826
4	0.5361628760245565	0.19139150618991763	0.629430746619231	0.021682149115915705	0.9254072696532791
5	0.38209932478767317	0.7341448205870084	0.5203551263523624	0.6067448516623305	0.8220215932809258
6	0.34634713370958914	0.9231230499707855	0.3795154698877097	0.5214385783692833	0.8670199658641156
7	0.21787844867000206	0.5983254993245731	0.6878292958336896	0.8082060932462866	0.19004435839488143
8	0.15312018066193078	0.8312594610052203	0.75848764421776	0.35170414858590837	0.870148935116374
9	0.3420879954973788	0.5817086474488262	0.9946023098590983	0.6279190463226988	0.6940255074135487
