	A	B	C	D	E
0	0.3012269261420508	0.9864143990469283	0.899939212606453	0.47969254370673553	0.28271334513463187
1	0.38491793961970777	0.5100072892631682	0.5775918116750033	0.5207205492703062	0.3949420896030851
2	0.03228322896072178	0.3400461397158918	0.9669548807141601	0.7667280773390736	0.1244842968380383
3	0.5692432559749119	0.4662294434268224	0.5413613263120562	0.6462482739245837	0.8250024573940534
4	0.09216427509867064	0.05321917560031719	0.6175411416526609	0.49522533313216943	0.6706464997202237
5	0.7304766941616082	0.19359226933357954	0.5601437106933145	0.35836454003564666	0.8628989964069852
6	0.25324633392726725	0.4577072046863777	0.014139582376037185	0.8767568393651461	0.4251383397663179
7	0.9659613936809319	0.9635751587423741	0.855754659715852	0.009968395607062086	0.6199389800136205
8	0.8365688926001096	0.08603015757879395	0.19568377826500039	0.0007085334673583299	0.26331612708601937
9	0.06705801587237892	0.37490561651051846	0.30325055581386884	0.5337686024932841	0.9629062905379708
