	a	b	c	d
0	0.8764169319533378	0.6541130632100031	0.8826821942166263	0.636583560385133
1	0.596384332916859	0.04686551062134958	0.0011328697714309	0.10699245728567686
2	0.18384741603571175	0.13981251554554652	0.3026101648463213	0.9204785915516678
3	0.12117787618331333	0.27853005826148547	0.7754663227079545	0.4475206003016341
4	0.6915092893894342	0.3507553058254005	0.25983936897563764	0.17027449779963466
5	0.34884035118505263	0.6305073816465421	0.44237056623694304	0.8702491839008167
6	0.21540020451090303	0.058791888356397815	0.32163644645407796	0.85800459511767
7	0.888809671794815	0.5250842390626713	0.9079965798420192	0.09415725165068556
8	0.5443592444661057	0.17930396390003356	0.4281879204539739	0.06129321953108591
9	0.7761626895894616	0.4379738584784939	0.8867239415270631	0.2219165565990504
10	0.9746811107678088	0.35951434284824424	0.16130520962954764	0.08303622133436861
11	0.8721029145786147	0.5273923531765927	0.0524071081121219	0.8223318171949452
12	0.47406157119751346	0.44011020358885233	0.06736579271818555	0.796253492378166
13	0.35654797684554684	0.8545137091934343	0.21943155109424606	0.5789219119650357
14	0.7275660252119941	0.5156986149799998	0.5224380649648513	0.05576416494717917
15	0.5779370967958591	0.9921556812908421	0.751151278794876	0.16268049391700257
16	0.635696276442389	0.9765239216646515	0.8338548269080909	0.022658878781974034
17	0.9310433678277117	0.3530090635614149	0.4522597855437388	0.6228016847147555
18	0.6459327874990616	0.4531216326714711	0.03606934949730656	0.6083235415402546
19	0.7392395814314415	0.1515632055259536	0.3755047232148411	0.4655015128121033
20	0.74985840906508	0.10732565271255567	0.32902867384322876	0.01088315294983544
21	0.3745673961880118	0.10243770770607097	0.3418080982100189	0.7477055247806781
22	0.15365900138789457	0.35029304643268133	0.19539976718693597	0.46172756559150985
23	0.1781791717872636	0.014511115320366974	0.03355433710184896	0.6514255943833148
24	0.6919764828976133	0.6423075031011933	0.07673249094983714	0.31445596306153034
25	0.1193064566018125	0.8478062556577303	0.8311827818145773	0.6561487043504145
26	0.7298272443434782	0.6388882884657021	0.628218811500399	0.7938664090128941
27	0.6678041084521271	0.2445250240753457	0.8672723969249096	0.8384846056763996
28	0.291978645909611	0.3004258871941061	0.5931786321018712	0.4398435262485837
29	0.9976604814236916	0.10146583107320561	0.40344145609735615	0.23594426838274252
30	0.8149280436955587	0.5827572866787193	0.46246046222548187	0.6134436701112068
31	0.921687603678131	0.38793402835672797	0.7821791171324487	0.8886941823522143
32	0.2037747087959464	0.934488238335574	0.21103861802946844	0.46315151048561054
33	0.4801396849039581	0.7656113224865184	0.24702247855915627	0.9187882853289181
34	0.0001932890903173501	0.08303021388423526	0.4263134844015525	0.06477059772695115
35	0.37387577003164685	0.7737759480612694	0.3925913572330264	0.1484074450807389
36	0.7672427918288722	0.8585179315125328	0.5268228898844708	0.8714823481476592
37	0.39921769771420135	0.5744359856042731	0.9051605344607604	0.3879617478722579
38	0.4031895728523397	0.9640299480173994	0.35851737915993054	0.5134500335066676
39	0.8709544069241788	0.051855241355100445	0.34874230270428064	0.5930187354729456
40	0.10448645964397396	0.7865049053427134	0.9487692320919016	0.8164390396837159
41	0.3749497926460311	0.23195707952321376	0.47068547202130195	0.33172231949047526
42	0.5311006957561375	0.34467280888102025	0.9979304075433488	0.6624158453790951
43	0.4660439631668679	0.6846900866799492	0.18697081855344055	0.38700500448729847
44	0.3168906995104205	0.29470861377910895	0.7094674949458926	0.9034828035933962
45	0.8486711509974062	0.9764548225143606	0.7989192156443657	0.3158001931879678
46	0.35827738958740607	0.22007496793004877	0.35516673919369124	0.525588751412545
47	0.9426173787287784	0.8376227617303961	0.839991928373568	0.5233343762561375
48	0.7566541981925865	0.12708979654403318	0.2799598954856942	0.27373847074385294
49	0.9309162851582823	0.08818560299715839	0.2883582319084146	0.6593640920061719
