	0
0	-2.5628399778656292
1	-2.3483645031373466
2	-3.116370941361034
3	-2.1356833941122124
4	-0.45725071901494574
5	-1.440537988516486
6	0.1046675938239674
7	-0.5524717955179541
8	-1.4508935044912694
9	-0.23509710406236328
10	0.5435981443692033
11	0.37558888280684033
12	0.3263674095633951
13	0.7862575495319319
14	2.2373138595505218
15	1.4332936919742063
16	2.9351412958667185
17	2.501073583667723
18	3.0924136416991646
19	2.8225167955824446
20	2.62111257455635
21	3.408961187191286
22	5.155984388114389
23	5.27507259899709
24	5.725468335143873
25	5.970836890975593
26	5.9102527241451375
27	4.3807254896712955
28	4.7688938258075595
29	3.4405918086868397
30	3.578999202364358
31	3.096546535951662
32	2.2608823598909944
33	2.6206629157896875
34	3.3567947666241076
35	3.71763711418021
36	4.0159703144919074
37	3.193819878349355
38	4.097890179670544
39	3.8142378072068004
40	4.294260838361237
41	2.7781884178493295
42	3.4221317207267945
43	3.3761575276771256
44	4.3545946218356155
45	4.80216997361052
46	4.468253832633208
47	5.869649250295239
48	6.9820777482031104
49	5.8927672998219425
50	5.772034325504555
51	5.801375742092598
52	6.0475978632095675
53	7.330365807587743
54	9.213151213264176
