	a	b	c	d
0	0.7064188547662034	0.7880055789513878	0.1328401482371806	0.11150762969667471
1	0.7684589699086358	0.23463099138232069	0.08295661744656424	0.6251605327458145
2	0.3158860701547427	0.6102776938153867	0.15478638725070415	0.4512892065943943
3	0.06503178146600364	0.9467612516458015	0.40422334367989465	0.5347778001255737
4	0.3853412534666443	0.7737925914387463	0.44129845976140536	0.8463262321462385
5	0.2600479544645661	0.05087005447012538	0.6387343794223869	0.31998419092017627
6	0.5800295973170722	0.9405256038314473	0.06775118278226588	0.36730741419644075
7	0.7988804394280211	0.46152646236771033	0.5816043714245692	0.8941905506551177
8	0.44816021075894796	0.23251735235086712	0.8983900753958821	0.5860820480084449
9	0.6696181081110337	0.11341419725613411	0.32258824747449144	0.7296100624222398
10	0.08899398004295911	0.2473866977975826	0.5535108660773365	0.7097327915324357
11	0.4990910128067356	0.30957225042168546	0.9162293316716864	0.03771184536098671
12	0.5249712445908096	0.3406824477049859	0.6829987210646337	0.4118030365098442
13	0.9186980240817301	0.9277872911338874	0.018511552363302375	0.7908544466875953
14	0.96330401529785	0.15393867530173866	0.8904714441094801	0.3639831244794013
15	0.056122618877239905	0.14461965450475078	0.4839589456795912	0.22854230267999076
16	0.35886174915145996	0.07696495663343184	0.7411316613350981	0.7288449321401844
17	0.23783762243194007	0.7917632719902091	0.1264070322778701	0.12194392848525637
18	0.7638050963706179	0.06264070296550495	0.3443215392458172	0.8745418224538036
19	0.47660013048367444	0.4381795302241672	0.9071871041088846	0.6789151182631009
20	0.31626654094427586	0.9978918614459773	0.010917133487764796	0.8649295307847797
21	0.47505433275291287	0.10184441980570602	0.8181013693649968	0.23766188608701155
22	0.6239107526066492	0.9132683099544835	0.7575605045076953	0.939244732997461
23	0.18810341833543265	0.8628251165564198	0.12365175131472406	0.10257076641569918
24	0.7771215497042845	0.1325404012460646	0.890860519882538	0.24537824207275805
25	0.10722263788948772	0.6778857225362964	0.9053298270903112	0.6820330440043535
26	0.934770111995798	0.2703433994587543	0.4783463910741266	0.4092770803671286
27	0.5769170154598257	0.9885342547614665	0.754723908452706	0.4289487675243475
28	0.26718843943447523	0.3138175962809132	0.9856737202018675	0.7714766073628894
29	0.6962902374691198	0.4332880059399793	0.7041218766443196	0.22217112139765138
30	0.5241778276607231	0.31955190842141024	0.8593263210668822	0.8110359480038558
31	0.26998175306877603	0.3997973895808682	0.14337170766980756	0.31863235877416474
32	0.003544673851464397	0.1339598010621883	0.7683900940673808	0.08718871456953936
33	0.33845196340547856	0.47133931699889664	0.05387856108830502	0.8870699233930341
34	0.7583366123968784	0.8765014934656742	0.5886530787898481	0.7104283414985315
35	0.5473718355977317	0.5339910320432476	0.17697882717924684	0.43320084908258494
36	0.5287667230223864	0.7747916496000079	0.6856597019505221	0.8420846452016426
37	0.9745332761916186	0.9785114055638594	0.4625141910879016	0.0880191541676606
38	0.5221331996336297	0.21694580969838184	0.9909224478699601	0.36413456189999127
39	0.15708342953797105	0.8045167960116635	0.6592672754056436	0.19212930408874518
40	0.31331091651657883	0.39281833672857547	0.9129999040266358	0.3979339150045055
41	0.035722302786100224	0.283624470947235	0.21289508377459843	0.7142263012157766
42	0.8438947886892375	0.8527264540454359	0.4131298928475182	0.8367271479298102
43	0.7280807935001278	0.4524226623106914	0.4162689075773799	0.9083046223489892
44	0.3257446645330617	0.055509856987810524	0.32991317195954617	0.47381879791143144
45	0.013444978109008576	0.8007134336589091	0.7794450580932516	0.6267331023768584
46	0.05821915796322208	0.704154086565855	0.25195717873849854	0.12509994492178478
47	0.7370804250581413	0.45120767226494796	0.7684687911417339	0.45937559797674543
48	0.3889850710292275	0.8670425115929989	0.04417624735891734	0.04179011205792371
49	0.6642337886306584	0.19150609237109706	0.40893414939042916	0.9792585338511014
