	A	B	C	D	E
0	0.16620663464871055	0.1505945539691521	0.7578276216219935	0.4961044520376213	0.830595710919532
1	0.5087813466098533	0.23665206415845508	0.6302033919827333	0.8391183051815406	0.5403919431271367
2	0.6147309061002497	0.28046310791853	0.22581646741368555	0.2654071919029871	0.9686594639987978
3	0.5870043474506828	0.557113551216757	0.11718012887616258	0.8538281085816193	0.669358482603954
4	0.7274179481841514	0.38380904266747506	0.480157017651309	0.7543994505065871	0.4034506087512124
5	0.8326470250070098	0.07154689240719891	0.20903513188343892	0.2380022540382155	0.6348959136480111
6	0.5165041645644511	0.4865458427990368	0.003300305525793301	0.498108300622061	0.5676173242075682
7	0.35714217713633944	0.4116915941351449	0.39401702359013535	0.4241899082406696	0.24282283768286117
8	0.01353059765195841	0.3005526067666823	0.6483014955661487	0.6324327703753041	0.40405522624315204
9	0.5883385285159298	0.5325369487149775	0.09599991977604105	0.0164449803783	0.7401735935315237
