	0
0	1.0089711218929798
1	1.49510852585837
2	0.9750764505352579
3	0.9523199474708404
4	0.4272248765855622
5	-1.132880735837825
6	-2.6260619216399568
7	-2.9576799831493368
8	-1.637646055571723
9	-2.042448393812327
10	-2.637589802889848
11	-2.464006964151527
12	-2.8854897101466093
13	-5.551816174951808
14	-5.510502781033346
15	-5.77309135482747
16	-6.050258505115102
17	-5.29925919524286
18	-2.3212044122382403
19	-2.827481104356856
20	-1.26241676505998
21	-0.9661215580924717
22	-1.2342823754451104
23	-2.2155335309855726
24	-1.560784693574611
25	-1.6793327505516527
26	-1.0112617146879752
27	-1.1533566038455154
28	-0.04988324805491873
29	-0.10604004399608663
30	0.9072576278826066
31	-1.0980235780280665
32	-1.0382157428473484
33	-0.8576106442816591
34	-0.6836695682207722
35	-0.7690730761755225
36	-0.4193401682766335
