	0
0	-1.0679304974156747
1	-1.0546540676209026
2	-1.9006438917577517
3	-3.147797074905025
4	-2.27693331454263
5	-3.0730752876211076
6	-1.45791666374801
7	-2.91187973768221
8	-4.26791028620478
9	-4.111677043710361
10	-3.739985845881927
11	-2.3514236247879627
12	-0.8919837971834361
13	-1.071512939075297
14	-3.2903123919897714
15	-5.082007877161064
16	-4.951642349971439
17	-5.577532963840636
18	-5.933629942632493
19	-5.300695091586034
20	-4.837155285640372
21	-5.6746649855931866
22	-5.081296361863643
23	-4.3858760037237685
24	-5.795361114341996
25	-5.797588415325878
26	-6.1738312519639855
27	-7.372649296163862
28	-7.518389189077503
29	-7.3133750483132856
30	-6.8041494594744645
31	-5.406482399547649
32	-6.024864675705771
33	-6.379360831093994
34	-7.784684179172292
35	-7.256885356264521
36	-7.202732203956691
37	-7.859731140079784
38	-7.722863973693732
39	-7.264047848115891
40	-7.986826982923214
41	-7.117291297312668
42	-7.145765772071983
43	-5.1363244451492065
