	0
0	1.362373444675151
1	1.422134806816116
2	3.2097358398916773
3	3.8208452355722056
4	3.3503629020190933
5	2.9982855025060964
6	3.3050179735303633
7	3.8509975535038943
8	4.296739330752295
9	5.507089896307754
10	5.970685116287223
11	6.242424151109094
12	6.492840408193173
13	5.225369845765297
14	5.371825885566969
15	5.842868272952256
16	3.8928889239932776
17	6.048748455062717
18	6.721177412954953
19	6.276049633765804
20	7.32294884716797
21	5.630493260734285
22	4.600442733731525
23	6.020382218458062
24	6.340175269822906
25	6.119793985462353
26	5.511206356653833
27	6.975296443986828
28	6.259008671046988
29	7.22236498095602
30	6.346563868060478
31	7.032103527312531
