	0
0	1.1935653259242998
1	-0.5446030580793846
2	-1.734155410239502
3	-2.771240694058392
4	-3.7049184284981136
5	-3.7981132738865675
6	-2.414299217987791
7	-0.27373178379872964
8	-1.2633499410956297
9	-2.02645473040486
10	-1.9825302064136987
11	-2.3638370464583955
12	-1.440191398418705
13	-1.5038182122567865
14	-1.578755547863874
15	-2.1298951306146194
16	-2.0523823732260906
17	-1.696159492124382
18	-2.0954516357387654
19	-0.02608767365069653
20	-0.30344899797210145
21	0.8314177725130204
22	1.801070624651857
23	2.1491024275280153
24	3.4196930632028137
25	3.9042868440691594
26	5.979761665553298
27	6.119534607704601
28	6.25416331024729
29	7.935329623767092
30	6.914687966665201
31	6.128149131842971
32	6.492447754838665
33	6.7898300622334915
34	7.937460002603446
35	8.49563063982394
36	9.874850708360977
37	8.968398826360202
38	7.371194743236328
39	8.355555143354659
40	7.905424751962581
41	7.154049759805029
42	7.655755841507041
43	9.547077316009576
44	9.959376277214954
45	9.621966748179318
46	9.58103175374001
