	A	B	C	D	E
0	0.7106069784063118	0.33095245869231293	0.12005902730750961	0.14695125879807935	0.7542174912505426
1	0.30683502177138355	0.3150869663125456	0.13350960363041897	0.4211424224615573	0.31099214189604785
2	0.5459613972415893	0.6796754151053263	0.996114153123946	0.10702861672466646	0.7578488190827911
3	0.024485734169181872	0.122333243342303	0.7761368415447712	0.7084795207839009	0.9191342801075069
4	0.5315285530458524	0.8468318778289132	0.5955601784828938	0.7188943696177338	0.1017370397197297
5	0.45191691670755996	0.24696369759977022	0.5389920406007572	0.17238542886731134	0.3054128369758432
6	0.5517743341290339	0.1804993342498965	0.21553698200940785	0.5210774109786422	0.4870755309901731
7	0.027394606011917233	0.20869731056366547	0.5254098605928492	0.9064923075555557	0.2246198793850931
8	0.7256277910451135	0.8014806891365118	0.5889302029758817	0.20069547449633873	0.7571397694269522
9	0.855427504397648	0.1896598099037825	0.7926678555948232	0.3145717957686668	0.3013815671506759
