	0
0	-0.5947029207478859
1	-1.8741419305099254
2	-2.194954264130416
3	-2.010932322849424
4	-2.45179198216974
5	-2.240248694029335
6	-3.0602235189297344
7	-3.26787238104496
8	-5.07853057857488
9	-5.179400664603988
10	-5.927871304688743
11	-5.143134515977829
12	-4.626178042520692
13	-5.036389664257779
14	-5.692012006750409
15	-4.545844673520739
16	-3.64679149028722
17	-4.018168565506967
18	-3.145884622095098
19	-3.7677347193270636
20	-2.9028791845567117
21	-4.743856603941445
22	-5.112157227196893
23	-5.763376980344166
24	-5.668307241738034
25	-4.307240400349227
26	-4.889952277178547
27	-4.532870205387268
28	-5.940465934606648
29	-4.610828316764431
30	-6.138172994841029
31	-5.960872479141499
32	-5.06401314032332
33	-5.174708475559412
34	-4.894768308268627
35	-4.2817976527190975
36	-7.2415514131461105
37	-6.691727029043611
38	-6.8400734976200965
39	-6.397103234959877
40	-5.135193800052366
41	-5.753694555466977
42	-4.472546999250696
43	-4.4231901329496
44	-4.41226248088129
45	-3.9411139554319417
46	-3.692172470929722
47	-3.280620300111058
48	-4.028352139862908
49	-4.875877035036819
