	A	B	C	D	E
0	0.9265129048501981	0.08396840132140082	0.911930510574669	0.9486152600653742	0.827517394975145
1	0.783513529275061	0.832962712713281	0.44451143149182604	0.8946560960043142	0.8001414200482766
2	0.39105647820017886	0.43483186629582304	0.9452160557165558	0.46917809097286756	0.30490356417161313
3	0.6688660461099356	0.338334700462136	0.17614120550318224	0.5865895754337905	0.7743565411344698
4	0.8606448157051182	0.21735784129782554	0.4419294651938799	0.957977239186498	0.5406379923986724
5	0.5092593248535776	0.3072837375745511	0.3634775829502904	0.9027554340615345	0.5916617427212142
6	0.9158370225788947	0.14394894448434936	0.6698093258260256	0.10573444373735075	0.234755313674888
7	0.0877105184452186	0.2387278014172124	0.2717115704753901	0.33888860862365344	0.9116829853563255
8	0.6798977935221336	0.9977734015977769	0.4887692536625785	0.884394907807499	0.007432492952141323
9	0.7419117883794694	0.30720565871043626	0.47425239023521415	0.8438394317148853	0.6574343438653922
