	A	B	C	D	E
0	0.028334848913773136	0.5859444519791032	0.8354144132146007	0.18023445975390717	0.6749390342724061
1	0.49518024606536737	0.23635654513675486	0.21779254224604927	0.018280013818282592	0.6437745298401322
2	0.2630469793758673	0.5912648145562662	0.6377526035189972	0.8231852683792943	0.7446101365972352
3	0.5038463184168804	0.5332768593658432	0.01975453031720087	0.1244682636689205	0.7903577777254224
4	0.509842198633564	0.6887521851719722	0.33869116750293893	0.37235091668309306	0.9386524452336164
5	0.971478287159442	0.6372718720413378	0.051263946106181124	0.1912463985358721	0.7209844199761262
6	0.6526787523959047	0.2600527685848648	0.3309192052017773	0.830384532863607	0.8956189529981656
7	0.7715597893631466	0.3750636910019548	0.47157647508262224	0.586120033734406	0.2656655694149881
8	0.23075551898781	0.9567813370646929	0.834298226824567	0.20604634113740028	0.6607775637615556
9	0.565280719039826	0.6010112011936065	0.15329224835511912	0.15115709538319322	0.40298261319096906
