	0
0	-1.1724884855784252
1	-3.658374472767968
2	-2.147202146025354
3	-2.5215505160614575
4	-1.708723771144442
5	-2.5397757263403173
6	-2.087106976403711
7	-2.2371146593115174
8	-2.4129863407451317
9	-1.80910245624614
10	-2.4529361933493354
11	-2.6444415288405945
12	-3.8237527075799704
13	-3.169771274881633
14	-3.9332903193054385
15	-3.4026710424329756
16	-3.722457331280843
17	-2.8888547111366814
18	-1.9591746622157458
19	-2.596364607422165
20	-3.163134249901203
21	-3.0250665649387285
22	-3.699694167628549
23	-2.782159288666213
24	-3.503228045016721
25	-4.915030152642096
26	-5.997152360928759
27	-7.208073891136882
28	-7.0934063383323265
29	-7.330849683310431
30	-6.643937268029543
31	-5.311552677866887
32	-4.405604534663195
33	-4.31130180292452
34	-5.615335843451746
35	-5.621110956885342
36	-5.513625543323864
37	-6.549014424168728
38	-7.453043194631068
39	-7.66929094834563
40	-7.513237908885431
41	-7.138793565981772
