	0
0	0.6878575236108935
1	0.09598237567072498
2	0.1383929304062016
3	-0.8428896950170603
4	0.14403270765479115
5	0.7659200638800227
6	1.0075542247672902
7	0.21256681766671193
8	-1.9787903015197013
9	-2.1782887374621853
10	-2.026521391203424
11	-2.3700400040984144
12	-2.6174328953152233
13	-3.4921530589602363
14	-4.127896854182966
15	-4.755940920745532
16	-4.312827968216608
17	-5.801110167744621
18	-4.378617506374013
19	-3.9163522776133806
20	-4.649151859774013
21	-3.7529262431917374
22	-5.47269367531738
23	-5.84845842467719
24	-4.883428726961636
25	-5.2985974372131865
26	-5.9044774915245055
27	-5.333496306681583
28	-5.148915142847266
29	-5.525146764094143
30	-4.717612440518707
31	-5.701643793367897
32	-5.78601817054456
33	-5.649223402298009
34	-5.39412562629241
35	-6.210778950316833
36	-6.181013963222617
37	-7.942972438545659
38	-10.791474239303593
39	-9.637635996928285
40	-11.685759720477815
41	-10.984667993722775
42	-11.602910976657382
43	-11.656578690483599
