	0
0	0.13376696351803538
1	2.2413583042664063
2	1.0624042449013398
3	1.1043931165350966
4	-0.8812755099584499
5	-2.114620079748885
6	-2.9803395950168077
7	-1.2428257553188222
8	-2.386531805675738
9	-2.4611369182281457
10	-2.746200300211556
11	-2.1922236879571555
12	-2.0211875596136295
13	-2.6552380334068006
14	-2.0779736888971048
15	-3.0555003275190984
16	-3.0057154188602753
17	-1.8462984219466974
18	-0.6822193479739707
19	0.2204915539198099
20	-1.8165695220579225
21	-2.6249202651762022
22	-4.087814338330794
23	-4.472532073994763
24	-5.439530984400656
25	-5.326075614654317
26	-4.866370539748788
27	-5.3996041456639245
28	-6.77270955919611
29	-8.380323046460305
30	-7.480842284355048
31	-6.8920815195880865
32	-5.586258205470166
33	-4.254597622064252
34	-4.280029536684677
35	-3.621059371584969
36	-3.2348543003830237
37	-3.3709597405927623
38	-2.840639673706211
39	-3.2750213232752188
40	-4.484849338882554
41	-4.76129889626122
42	-6.74027411417936
43	-5.442123611885626
44	-4.556433371031703
45	-4.822909860281019
46	-1.3951133410348793
47	-0.4721747501519473
