	0
0	-0.5066108787851695
1	-1.3431313501569637
2	-0.45358863070705535
3	0.43927889025897093
4	3.368659496259732
5	2.6726175154264133
6	1.3288224429089155
7	0.49172928451270614
8	0.9427746787729054
9	1.8548470605190417
10	1.1664570311038258
11	1.4734434932241298
12	0.6548344453174677
13	1.5452727005884443
14	1.1963097175038127
15	1.5079803237046119
16	-0.5306834202807567
17	-1.5517947680620274
18	-1.611307339357445
19	-2.254421954795181
20	-1.2696192193762657
21	-1.3242914376967887
22	0.2909277400088812
23	-0.218441178708225
24	-1.0654648681238326
25	-1.119940178183972
26	-1.1875342578865544
27	-1.5511332766013535
28	-1.9164113563459548
29	-2.1281204849633832
30	-2.049699728231175
31	-2.657010903926743
32	-1.5976725535319212
33	0.8179251779031611
34	0.967569983201656
35	2.109482242178311
36	2.2978366684359406
37	1.2406530586100382
38	1.886828971463162
39	0.24318047636915585
40	0.31005575579202665
41	2.587965321667751
42	0.7318537772072458
43	0.024113530575671005
44	-0.47907675855147824
45	-0.40976078907222235
46	0.03438294171681766
47	-1.2526661732697
48	-1.5501265359299352
49	-1.239803746270165
50	-1.9098216665386425
51	-0.4222055143754373
