	A	B	C	D	E
0	0.7278139677698855	0.3983833320135406	0.6396475202068124	0.8886358589906852	0.685804852266141
1	0.40041958373820363	0.33200807123076503	0.03905727590996355	0.7680322273811733	0.8476744973939904
2	0.10778657432019656	0.44911023791709337	0.2422977278629973	0.12252576185269459	0.29277680269799145
3	0.18531322100615633	0.5225861648578894	0.3509357180532885	0.9136298912498408	0.5045909842259997
4	0.07833426691662126	0.39105261446815365	0.2762846516225289	0.948741221969274	0.16479501131081287
5	0.18517597728348378	0.7396672285369743	0.5595296530550764	0.5100918892598195	0.3192708134821489
6	0.4951768350646695	0.6332889130854554	0.7071200474675269	0.20444581595371525	0.515396181400916
7	0.9441630618833361	0.26796621987406455	0.3989603422554242	0.5387921004878501	0.8116722353815096
8	0.5326918264084367	0.777123012141928	0.7382271312882702	0.4262059527631855	0.8327505893051667
9	0.05674403316272869	0.005948573898110321	0.15200315634822004	0.8437740307502083	0.8060762014468666
