	A	B	C	D	E
0	0.48922784235474426	0.9954758939880595	0.4080064631694168	0.1165983113831397	0.5452810716703932
1	0.7868370028455953	0.8349498841506157	0.41700824038445206	0.3576445018914841	0.7225705405061795
2	0.5017410147297968	0.6268742036112008	0.16160505229128408	0.2802692931500307	0.7579452300416056
3	0.2312200000857786	0.7808779503708124	0.6318214106380683	0.9764674813926064	0.72928270485662
4	0.14518804581305345	0.99076707183469	0.9003158253994447	0.8678143177823163	0.9151867996523134
5	0.7932549156082842	0.8272292839749216	0.5760889545429128	0.00171204242329126	0.5161022369658659
6	0.9671517435480251	0.9553210139256145	0.4729009083208938	0.15448827168952095	0.947009685045992
7	0.46822849246941767	0.5903125197015128	0.6983914896796145	0.11267275482632522	0.1363272542585915
8	0.5666994505653669	0.05783792503972751	0.49470944916791604	0.07410903132683466	0.5376740250498935
9	0.8385646705887653	0.7509242819088681	0.26704589343409335	0.4792620987420513	0.4768242450210973
